,firstName,lastName,jersey,pos,posExpanded,heightFeet,heightInches,weightPounds,personId,teamData,isAllStar,orderChar,playerUrl,displayName
0,Steven,Adams,12,C,Center,6,11,265,203500,"{'urlName': 'thunder', 'city': 'Oklahoma City', 'nickname': 'Thunder', 'tricode': 'OKC'}",False,A,/players/steven/adams/203500,"Adams, Steven"
1,Bam,Adebayo,13,C-F,Center-Forward,6,9,255,1628389,"{'urlName': 'heat', 'city': 'Miami', 'nickname': 'Heat', 'tricode': 'MIA'}",True,A,/players/bam/adebayo/1628389,"Adebayo, Bam"
2,LaMarcus,Aldridge,12,C-F,Center-Forward,6,11,250,200746,"{'urlName': 'spurs', 'city': 'San Antonio', 'nickname': 'Spurs', 'tricode': 'SAS'}",False,A,/players/lamarcus/aldridge/200746,"Aldridge, LaMarcus"
3,Nickeil,Alexander-Walker,0,G,Guard,6,5,205,1629638,"{'urlName': 'pelicans', 'city': 'New Orleans', 'nickname': 'Pelicans', 'tricode': 'NOP'}",False,A,/players/nickeil/alexander-walker/1629638,"Alexander-Walker, Nickeil"
4,Kyle,Alexander,17,F-C,Forward-Center,6,10,216,1629734,"{'urlName': 'heat', 'city': 'Miami', 'nickname': 'Heat', 'tricode': 'MIA'}",False,A,/players/kyle/alexander/1629734,"Alexander, Kyle"
5,Grayson,Allen,3,G,Guard,6,4,198,1628960,"{'urlName': 'grizzlies', 'city': 'Memphis', 'nickname': 'Grizzlies', 'tricode': 'MEM'}",False,A,/players/grayson/allen/1628960,"Allen, Grayson"
6,Jarrett,Allen,31,C,Center,6,11,243,1628386,"{'urlName': 'nets', 'city': 'Brooklyn', 'nickname': 'Nets', 'tricode': 'BKN'}",False,A,/players/jarrett/allen/1628386,"Allen, Jarrett"
7,Kadeem,Allen,0,G,Guard,6,1,200,1628443,"{'urlName': 'knicks', 'city': 'New York', 'nickname': 'Knicks', 'tricode': 'NYK'}",False,A,/players/kadeem/allen/1628443,"Allen, Kadeem"
8,Al-Farouq,Aminu,2,F,Forward,6,8,220,202329,"{'urlName': 'magic', 'city': 'Orlando', 'nickname': 'Magic', 'tricode': 'ORL'}",False,A,/players/al-farouq/aminu/202329,"Aminu, Al-Farouq"
9,Kyle,Anderson,1,F-G,Forward-Guard,6,9,230,203937,"{'urlName': 'grizzlies', 'city': 'Memphis', 'nickname': 'Grizzlies', 'tricode': 'MEM'}",False,A,/players/kyle/anderson/203937,"Anderson, Kyle"
10,Giannis,Antetokounmpo,34,F,Forward,6,11,242,203507,"{'urlName': 'bucks', 'city': 'Milwaukee', 'nickname': 'Bucks', 'tricode': 'MIL'}",True,A,/players/giannis/antetokounmpo/203507,"Antetokounmpo, Giannis"
11,Kostas,Antetokounmpo,37,F,Forward,6,10,200,1628961,"{'urlName': 'lakers', 'city': 'Los Angeles', 'nickname': 'Lakers', 'tricode': 'LAL'}",False,A,/players/kostas/antetokounmpo/1628961,"Antetokounmpo, Kostas"
12,Thanasis,Antetokounmpo,43,F,Forward,6,6,219,203648,"{'urlName': 'bucks', 'city': 'Milwaukee', 'nickname': 'Bucks', 'tricode': 'MIL'}",False,A,/players/thanasis/antetokounmpo/203648,"Antetokounmpo, Thanasis"
13,Carmelo,Anthony,00,F,Forward,6,8,238,2546,"{'urlName': 'blazers', 'city': 'Portland', 'nickname': 'Trail Blazers', 'tricode': 'POR'}",False,A,/players/carmelo/anthony/2546,"Anthony, Carmelo"
14,OG,Anunoby,3,F,Forward,6,7,232,1628384,"{'urlName': 'raptors', 'city': 'Toronto', 'nickname': 'Raptors', 'tricode': 'TOR'}",False,A,/players/og/anunoby/1628384,"Anunoby, OG"
15,Ryan,Arcidiacono,51,G,Guard,6,3,195,1627853,"{'urlName': 'bulls', 'city': 'Chicago', 'nickname': 'Bulls', 'tricode': 'CHI'}",False,A,/players/ryan/arcidiacono/1627853,"Arcidiacono, Ryan"
16,Trevor,Ariza,8,F,Forward,6,8,215,2772,"{'urlName': 'blazers', 'city': 'Portland', 'nickname': 'Trail Blazers', 'tricode': 'POR'}",False,A,/players/trevor/ariza/2772,"Ariza, Trevor"
17,D.J.,Augustin,14,G,Guard,5,11,183,201571,"{'urlName': 'magic', 'city': 'Orlando', 'nickname': 'Magic', 'tricode': 'ORL'}",False,A,/players/d.j./augustin/201571,"Augustin, D.J."
18,Deandre,Ayton,22,C,Center,6,11,250,1629028,"{'urlName': 'suns', 'city': 'Phoenix', 'nickname': 'Suns', 'tricode': 'PHX'}",False,A,/players/deandre/ayton/1629028,"Ayton, Deandre"
19,Dwayne,Bacon,7,G-F,Guard-Forward,6,6,221,1628407,"{'urlName': 'hornets', 'city': 'Charlotte', 'nickname': 'Hornets', 'tricode': 'CHA'}",False,B,/players/dwayne/bacon/1628407,"Bacon, Dwayne"
20,Marvin,Bagley III,35,F,Forward,6,11,235,1628963,"{'urlName': 'kings', 'city': 'Sacramento', 'nickname': 'Kings', 'tricode': 'SAC'}",False,B,/players/marvin/bagley_iii/1628963,"Bagley III, Marvin"
21,Lonzo,Ball,2,G,Guard,6,6,190,1628366,"{'urlName': 'pelicans', 'city': 'New Orleans', 'nickname': 'Pelicans', 'tricode': 'NOP'}",False,B,/players/lonzo/ball/1628366,"Ball, Lonzo"
22,Mo,Bamba,5,C,Center,7,0,231,1628964,"{'urlName': 'magic', 'city': 'Orlando', 'nickname': 'Magic', 'tricode': 'ORL'}",False,B,/players/mo/bamba/1628964,"Bamba, Mo"
23,J.J.,Barea,5,G,Guard,5,10,180,200826,"{'urlName': 'mavericks', 'city': 'Dallas', 'nickname': 'Mavericks', 'tricode': 'DAL'}",False,B,/players/j.j./barea/200826,"Barea, J.J."
24,Harrison,Barnes,40,F,Forward,6,8,225,203084,"{'urlName': 'kings', 'city': 'Sacramento', 'nickname': 'Kings', 'tricode': 'SAC'}",False,B,/players/harrison/barnes/203084,"Barnes, Harrison"
25,RJ,Barrett,9,F-G,Forward-Guard,6,6,214,1629628,"{'urlName': 'knicks', 'city': 'New York', 'nickname': 'Knicks', 'tricode': 'NYK'}",False,B,/players/rj/barrett/1629628,"Barrett, RJ"
26,Will,Barton,5,G,Guard,6,5,181,203115,"{'urlName': 'nuggets', 'city': 'Denver', 'nickname': 'Nuggets', 'tricode': 'DEN'}",False,B,/players/will/barton/203115,"Barton, Will"
27,Keita,Bates-Diop,31,F,Forward,6,8,229,1628966,"{'urlName': 'nuggets', 'city': 'Denver', 'nickname': 'Nuggets', 'tricode': 'DEN'}",False,B,/players/keita/bates-diop/1628966,"Bates-Diop, Keita"
28,Nicolas,Batum,5,G-F,Guard-Forward,6,9,230,201587,"{'urlName': 'hornets', 'city': 'Charlotte', 'nickname': 'Hornets', 'tricode': 'CHA'}",False,B,/players/nicolas/batum/201587,"Batum, Nicolas"
29,Aron,Baynes,46,C-F,Center-Forward,6,10,260,203382,"{'urlName': 'suns', 'city': 'Phoenix', 'nickname': 'Suns', 'tricode': 'PHX'}",False,B,/players/aron/baynes/203382,"Baynes, Aron"
30,Kent,Bazemore,26,G-F,Guard-Forward,6,4,195,203145,"{'urlName': 'kings', 'city': 'Sacramento', 'nickname': 'Kings', 'tricode': 'SAC'}",False,B,/players/kent/bazemore/203145,"Bazemore, Kent"
31,Darius,Bazley,7,F-G,Forward-Guard,6,8,208,1629647,"{'urlName': 'thunder', 'city': 'Oklahoma City', 'nickname': 'Thunder', 'tricode': 'OKC'}",False,B,/players/darius/bazley/1629647,"Bazley, Darius"
32,Bradley,Beal,3,G,Guard,6,3,207,203078,"{'urlName': 'wizards', 'city': 'Washington', 'nickname': 'Wizards', 'tricode': 'WAS'}",False,B,/players/bradley/beal/203078,"Beal, Bradley"
33,Malik,Beasley,5,G,Guard,6,4,187,1627736,"{'urlName': 'timberwolves', 'city': 'Minnesota', 'nickname': 'Timberwolves', 'tricode': 'MIN'}",False,B,/players/malik/beasley/1627736,"Beasley, Malik"
34,Marco,Belinelli,18,G,Guard,6,5,220,201158,"{'urlName': 'spurs', 'city': 'San Antonio', 'nickname': 'Spurs', 'tricode': 'SAS'}",False,B,/players/marco/belinelli/201158,"Belinelli, Marco"
35,DeAndre',Bembry,95,G-F,Guard-Forward,6,5,210,1627761,"{'urlName': 'hawks', 'city': 'Atlanta', 'nickname': 'Hawks', 'tricode': 'ATL'}",False,B,/players/deandre'/bembry/1627761,"Bembry, DeAndre'"
36,Dragan,Bender,10,F,Forward,7,0,249,1627733,"{'urlName': 'warriors', 'city': 'Golden State', 'nickname': 'Warriors', 'tricode': 'GSW'}",False,B,/players/dragan/bender/1627733,"Bender, Dragan"
37,Davis,Bertans,42,F,Forward,6,10,225,202722,"{'urlName': 'wizards', 'city': 'Washington', 'nickname': 'Wizards', 'tricode': 'WAS'}",False,B,/players/davis/bertans/202722,"Bertans, Davis"
38,Patrick,Beverley,21,G,Guard,6,1,180,201976,"{'urlName': 'clippers', 'city': 'LA', 'nickname': 'Clippers', 'tricode': 'LAC'}",False,B,/players/patrick/beverley/201976,"Beverley, Patrick"
39,Khem,Birch,24,C,Center,6,9,233,203920,"{'urlName': 'magic', 'city': 'Orlando', 'nickname': 'Magic', 'tricode': 'ORL'}",False,B,/players/khem/birch/203920,"Birch, Khem"
40,Goga,Bitadze,88,C-F,Center-Forward,6,11,250,1629048,"{'urlName': 'pacers', 'city': 'Indiana', 'nickname': 'Pacers', 'tricode': 'IND'}",False,B,/players/goga/bitadze/1629048,"Bitadze, Goga"
41,Bismack,Biyombo,8,C,Center,6,8,255,202687,"{'urlName': 'hornets', 'city': 'Charlotte', 'nickname': 'Hornets', 'tricode': 'CHA'}",False,B,/players/bismack/biyombo/202687,"Biyombo, Bismack"
42,Nemanja,Bjelica,88,F,Forward,6,10,234,202357,"{'urlName': 'kings', 'city': 'Sacramento', 'nickname': 'Kings', 'tricode': 'SAC'}",False,B,/players/nemanja/bjelica/202357,"Bjelica, Nemanja"
43,Eric,Bledsoe,6,G,Guard,6,1,214,202339,"{'urlName': 'bucks', 'city': 'Milwaukee', 'nickname': 'Bucks', 'tricode': 'MIL'}",False,B,/players/eric/bledsoe/202339,"Bledsoe, Eric"
44,Bogdan,Bogdanovic,8,G,Guard,6,6,220,203992,"{'urlName': 'kings', 'city': 'Sacramento', 'nickname': 'Kings', 'tricode': 'SAC'}",False,B,/players/bogdan/bogdanovic/203992,"Bogdanovic, Bogdan"
45,Bojan,Bogdanovic,44,F,Forward,6,8,226,202711,"{'urlName': 'jazz', 'city': 'Utah', 'nickname': 'Jazz', 'tricode': 'UTA'}",False,B,/players/bojan/bogdanovic/202711,"Bogdanovic, Bojan"
46,Bol,Bol,10,C-F,Center-Forward,7,2,220,1629626,"{'urlName': 'nuggets', 'city': 'Denver', 'nickname': 'Nuggets', 'tricode': 'DEN'}",False,B,/players/bol/bol/1629626,"Bol, Bol"
47,Jordan,Bone,18,G,Guard,6,3,180,1629648,"{'urlName': 'pistons', 'city': 'Detroit', 'nickname': 'Pistons', 'tricode': 'DET'}",False,B,/players/jordan/bone/1629648,"Bone, Jordan"
48,Isaac,Bonga,17,G,Guard,6,8,180,1629067,"{'urlName': 'wizards', 'city': 'Washington', 'nickname': 'Wizards', 'tricode': 'WAS'}",False,B,/players/isaac/bonga/1629067,"Bonga, Isaac"
49,Devin,Booker,1,G,Guard,6,5,206,1626164,"{'urlName': 'suns', 'city': 'Phoenix', 'nickname': 'Suns', 'tricode': 'PHX'}",True,B,/players/devin/booker/1626164,"Booker, Devin"
50,Chris,Boucher,25,F-C,Forward-Center,6,9,200,1628449,"{'urlName': 'raptors', 'city': 'Toronto', 'nickname': 'Raptors', 'tricode': 'TOR'}",False,B,/players/chris/boucher/1628449,"Boucher, Chris"
51,Brian,Bowen II,10,F-G,Forward-Guard,6,6,190,1628968,"{'urlName': 'pacers', 'city': 'Indiana', 'nickname': 'Pacers', 'tricode': 'IND'}",False,B,/players/brian/bowen_ii/1628968,"Bowen II, Brian"
52,Ky,Bowman,12,G,Guard,6,1,187,1629065,"{'urlName': 'warriors', 'city': 'Golden State', 'nickname': 'Warriors', 'tricode': 'GSW'}",False,B,/players/ky/bowman/1629065,"Bowman, Ky"
53,Avery,Bradley,11,G,Guard,6,3,180,202340,"{'urlName': 'lakers', 'city': 'Los Angeles', 'nickname': 'Lakers', 'tricode': 'LAL'}",False,B,/players/avery/bradley/202340,"Bradley, Avery"
54,Tony,Bradley,13,C-F,Center-Forward,6,10,248,1628396,"{'urlName': 'jazz', 'city': 'Utah', 'nickname': 'Jazz', 'tricode': 'UTA'}",False,B,/players/tony/bradley/1628396,"Bradley, Tony"
55,Jarrell,Brantley,5,F,Forward,6,5,250,1629714,"{'urlName': 'jazz', 'city': 'Utah', 'nickname': 'Jazz', 'tricode': 'UTA'}",False,B,/players/jarrell/brantley/1629714,"Brantley, Jarrell"
56,Ignas,Brazdeikis,17,F,Forward,6,6,221,1629649,"{'urlName': 'knicks', 'city': 'New York', 'nickname': 'Knicks', 'tricode': 'NYK'}",False,B,/players/ignas/brazdeikis/1629649,"Brazdeikis, Ignas"
57,Mikal,Bridges,25,F,Forward,6,6,209,1628969,"{'urlName': 'suns', 'city': 'Phoenix', 'nickname': 'Suns', 'tricode': 'PHX'}",False,B,/players/mikal/bridges/1628969,"Bridges, Mikal"
58,Miles,Bridges,0,F,Forward,6,6,225,1628970,"{'urlName': 'hornets', 'city': 'Charlotte', 'nickname': 'Hornets', 'tricode': 'CHA'}",False,B,/players/miles/bridges/1628970,"Bridges, Miles"
59,Oshae,Brissett,12,F-G,Forward-Guard,6,7,210,1629052,"{'urlName': 'raptors', 'city': 'Toronto', 'nickname': 'Raptors', 'tricode': 'TOR'}",False,B,/players/oshae/brissett/1629052,"Brissett, Oshae"
60,Malcolm,Brogdon,7,G,Guard,6,5,229,1627763,"{'urlName': 'pacers', 'city': 'Indiana', 'nickname': 'Pacers', 'tricode': 'IND'}",False,B,/players/malcolm/brogdon/1627763,"Brogdon, Malcolm"
61,Dillon,Brooks,24,G-F,Guard-Forward,6,7,225,1628415,"{'urlName': 'grizzlies', 'city': 'Memphis', 'nickname': 'Grizzlies', 'tricode': 'MEM'}",False,B,/players/dillon/brooks/1628415,"Brooks, Dillon"
62,Charles,Brown Jr.,4,G,Guard,6,6,199,1629718,"{'urlName': 'hawks', 'city': 'Atlanta', 'nickname': 'Hawks', 'tricode': 'ATL'}",False,B,/players/charles/brown_jr./1629718,"Brown Jr., Charles"
63,Troy,Brown Jr.,6,G-F,Guard-Forward,6,6,215,1628972,"{'urlName': 'wizards', 'city': 'Washington', 'nickname': 'Wizards', 'tricode': 'WAS'}",False,B,/players/troy/brown_jr./1628972,"Brown Jr., Troy"
64,Bruce,Brown,6,G-F,Guard-Forward,6,4,202,1628971,"{'urlName': 'pistons', 'city': 'Detroit', 'nickname': 'Pistons', 'tricode': 'DET'}",False,B,/players/bruce/brown/1628971,"Brown, Bruce"
65,Jaylen,Brown,7,G-F,Guard-Forward,6,6,223,1627759,"{'urlName': 'celtics', 'city': 'Boston', 'nickname': 'Celtics', 'tricode': 'BOS'}",False,B,/players/jaylen/brown/1627759,"Brown, Jaylen"
66,Moses,Brown,4,C,Center,7,2,245,1629650,"{'urlName': 'blazers', 'city': 'Portland', 'nickname': 'Trail Blazers', 'tricode': 'POR'}",False,B,/players/moses/brown/1629650,"Brown, Moses"
67,Sterling,Brown,23,G-F,Guard-Forward,6,5,219,1628425,"{'urlName': 'bucks', 'city': 'Milwaukee', 'nickname': 'Bucks', 'tricode': 'MIL'}",False,B,/players/sterling/brown/1628425,"Brown, Sterling"
68,Jalen,Brunson,13,G,Guard,6,1,190,1628973,"{'urlName': 'mavericks', 'city': 'Dallas', 'nickname': 'Mavericks', 'tricode': 'DAL'}",False,B,/players/jalen/brunson/1628973,"Brunson, Jalen"
69,Thomas,Bryant,13,C-F,Center-Forward,6,10,248,1628418,"{'urlName': 'wizards', 'city': 'Washington', 'nickname': 'Wizards', 'tricode': 'WAS'}",False,B,/players/thomas/bryant/1628418,"Bryant, Thomas"
70,Reggie,Bullock,25,G-F,Guard-Forward,6,6,205,203493,"{'urlName': 'knicks', 'city': 'New York', 'nickname': 'Knicks', 'tricode': 'NYK'}",False,B,/players/reggie/bullock/203493,"Bullock, Reggie"
71,Alec,Burks,20,G,Guard,6,6,214,202692,"{'urlName': 'sixers', 'city': 'Philadelphia', 'nickname': '76ers', 'tricode': 'PHI'}",False,B,/players/alec/burks/202692,"Burks, Alec"
