,0,Team
0,"
Record:
    
      35-47, Finished 11th in NBA 
     Western Conference    
    
    
    
    
",LAL
1,Coach: Luke Walton (35-47),LAL
2,Executive: Magic Johnson,LAL
3,"
PTS/G: 
      108.1 (11th of 30)
      Opp PTS/G: 
      109.6 (25th of 30)
    ",LAL
4,"
SRS: -1.44 (21st of 30)
      
      Pace: 100.3 (2nd of 30)
    ",LAL
5,"
Off Rtg: 106.5 (23rd of 30)
      Def Rtg: 108.0 (12th of 30)
    ",LAL
6,"
Expected W-L: 37-45 (21st of 30)
    ",LAL
7,"
Preseason Odds:
Championship +30000, Over-Under 
            33.5
          
",LAL
8,"
Arena: 
    STAPLES Center
  

  
    Attendance:
    776,327 (10th of 30)
  
",LAL
9,Lakers Franchise Index,LAL
10,"
Record:
    
      44-38, Finished 7th in NBA 
     Eastern Conference    
    
    
    
    
",MIL
11,"Coach: Jason Kidd (23-22), Joe Prunty (21-16)",MIL
12,Executive: Jon Horst,MIL
13,"
PTS/G: 
      106.5 (15th of 30)
      Opp PTS/G: 
      106.8 (16th of 30)
    ",MIL
14,"
SRS: -0.45 (20th of 30)
      
      Pace: 96.2 (20th of 30)
    ",MIL
15,"
Off Rtg: 109.8 (9th of 30)
      Def Rtg: 110.1 (19th of 30)
    ",MIL
16,"
Expected W-L: 40-42 (20th of 30)
    ",MIL
17,"
Preseason Odds:
Championship +8000, Over-Under 
            47.5
          
",MIL
18,"
Arena: 
    BMO Harris Bradley Center
  

  
    Attendance:
    685,303 (24th of 30)
  
",MIL
19,"NBA 2018 Playoffs:
Lost NBA Eastern Conference First Round (3-4) versus Boston Celtics
 (Series Stats)",MIL
20,"
Record:
    
      42-40, Finished 10th in NBA 
     Western Conference    
    
    
    
    
",LAC
21,Coach: Doc Rivers (42-40),LAC
22,Executive: Lawrence Frank,LAC
23,"
PTS/G: 
      109.0 (9th of 30)
      Opp PTS/G: 
      109.0 (24th of 30)
    ",LAC
24,"
SRS: 0.15 (17th of 30)
      
      Pace: 98.7 (7th of 30)
    ",LAC
25,"
Off Rtg: 110.3 (8th of 30)
      Def Rtg: 110.2 (20th of 30)
    ",LAC
26,"
Expected W-L: 41-41 (18th of 30)
    ",LAC
27,"
Preseason Odds:
Championship +19000, Over-Under 
            43.5
          
",LAC
28,"
Arena: 
    STAPLES Center
  

  
    Attendance:
    697,812 (22nd of 30)
  
",LAC
29,Clippers Franchise Index,LAC
30,"
Record:
    
      44-38, Finished 6th in NBA 
     Eastern Conference    
    
    
    
    
",MIA
31,Coach: Erik Spoelstra (44-38),MIA
32,Executive: Pat Riley,MIA
33,"
PTS/G: 
      103.4 (23rd of 30)
      Opp PTS/G: 
      102.9 (4th of 30)
    ",MIA
34,"
SRS: 0.15 (16th of 30)
      
      Pace: 95.6 (27th of 30)
    ",MIA
35,"
Off Rtg: 106.8 (22nd of 30)
      Def Rtg: 106.3 (7th of 30)
    ",MIA
36,"
Expected W-L: 42-40 (16th of 30)
    ",MIA
37,"
Preseason Odds:
Championship +24000, Over-Under 
            43.5
          
",MIA
38,"
Arena: 
    AmericanAirlines Arena
  

  
    Attendance:
    804,850 (6th of 30)
  
",MIA
39,"NBA 2018 Playoffs:
Lost NBA Eastern Conference First Round (1-4) versus Philadelphia 76ers
 (Series Stats)",MIA
40,"
Record:
    
      52-30, Finished 3rd in NBA 
     Eastern Conference    
    
    
    
    
",PHI
41,Coach: Brett Brown (52-30),PHI
42,Executive: Bryan Colangelo,PHI
43,"
PTS/G: 
      109.8 (7th of 30)
      Opp PTS/G: 
      105.3 (11th of 30)
    ",PHI
44,"
SRS: 4.30 (5th of 30)
      
      Pace: 99.8 (4th of 30)
    ",PHI
45,"
Off Rtg: 109.5 (12th of 30)
      Def Rtg: 105.0 (4th of 30)
    ",PHI
46,"
Expected W-L: 53-29 (5th of 30)
    ",PHI
47,"
Preseason Odds:
Championship +19000, Over-Under 
            39.5
          
",PHI
48,"
Arena: 
    Wells Fargo Center
  

  
    Attendance:
    833,503 (3rd of 30)
  
",PHI
49,"NBA 2018 Playoffs:
Won NBA Eastern Conference First Round (4-1) versus Miami Heat
 (Series Stats)Lost NBA Eastern Conference Semifinals (1-4) versus Boston Celtics
 (Series Stats)",PHI
50,"
Record:
    
      55-27, Finished 2nd in NBA 
     Eastern Conference    
    
    
    
    
",BOS
51,Coach: Brad Stevens (55-27),BOS
52,Executive: Danny Ainge,BOS
53,"
PTS/G: 
      104.0 (20th of 30)
      Opp PTS/G: 
      100.4 (3rd of 30)
    ",BOS
54,"
SRS: 3.23 (7th of 30)
      
      Pace: 96.0 (22nd of 30)
    ",BOS
55,"
Off Rtg: 107.6 (18th of 30)
      Def Rtg: 103.9 (1st of 30)
    ",BOS
56,"
Expected W-L: 51-31 (6th of 30)
    ",BOS
57,"
Preseason Odds:
Championship +1200, Over-Under 
            53.5
          
",BOS
58,"
Arena: 
    TD Garden
  

  
    Attendance:
    763,584 (11th of 30)
  
",BOS
59,"NBA 2018 Playoffs:
Won NBA Eastern Conference First Round (4-3) versus Milwaukee Bucks
 (Series Stats)Won NBA Eastern Conference Semifinals (4-1) versus Philadelphia 76ers
 (Series Stats)Lost NBA Eastern Conference Finals (3-4) versus Cleveland Cavaliers
 (Series Stats)",BOS
60,"
Record:
    
      24-58, Finished 13th in NBA 
     Western Conference    
    
    
    
    
",DAL
61,Coach: Rick Carlisle (24-58),DAL
62,Executive: Donn Nelson,DAL
