Team,CleanedBlurb
Los Angeles Lakers,"Record: 35-47, Finished 11th in NBA Western Conference"
Los Angeles Lakers,Coach: Luke Walton (35-47)
Los Angeles Lakers,Executive: Magic Johnson
Los Angeles Lakers,PTS/G: 108.1 (11th of 30) Opp PTS/G: 109.6 (25th of 30)
Los Angeles Lakers,SRS: -1.44 (21st of 30) Pace: 100.3 (2nd of 30)
Los Angeles Lakers,Off Rtg: 106.5 (23rd of 30) Def Rtg: 108.0 (12th of 30)
Los Angeles Lakers,Expected W-L: 37-45 (21st of 30)
Los Angeles Lakers,"Preseason Odds: Championship +30000, Over-Under 33.5"
Los Angeles Lakers,"Arena: STAPLES Center Attendance: 776,327 (10th of 30)"
Milwaukee Bucks,"Record: 44-38, Finished 7th in NBA Eastern Conference"
Milwaukee Bucks,"Coach: Jason Kidd (23-22), Joe Prunty (21-16)"
Milwaukee Bucks,Executive: Jon Horst
Milwaukee Bucks,PTS/G: 106.5 (15th of 30) Opp PTS/G: 106.8 (16th of 30)
Milwaukee Bucks,SRS: -0.45 (20th of 30) Pace: 96.2 (20th of 30)
Milwaukee Bucks,Off Rtg: 109.8 (9th of 30) Def Rtg: 110.1 (19th of 30)
Milwaukee Bucks,Expected W-L: 40-42 (20th of 30)
Milwaukee Bucks,"Preseason Odds: Championship +8000, Over-Under 47.5"
Milwaukee Bucks,"Arena: BMO Harris Bradley Center Attendance: 685,303 (24th of 30)"
Utah Jazz,NBA 2018 Playoffs: Won NBA Western Conference First Round (4-2) versus Oklahoma City Thunder  Lost NBA Western Conference Semifinals (1-4) versus Houston Rockets  
Los Angeles Clippers,"Record: 42-40, Finished 10th in NBA Western Conference"
Los Angeles Clippers,Coach: Doc Rivers (42-40)
Los Angeles Clippers,Executive: Lawrence Frank
Los Angeles Clippers,PTS/G: 109.0 (9th of 30) Opp PTS/G: 109.0 (24th of 30)
Los Angeles Clippers,SRS: 0.15 (17th of 30) Pace: 98.7 (7th of 30)
Los Angeles Clippers,Off Rtg: 110.3 (8th of 30) Def Rtg: 110.2 (20th of 30)
Los Angeles Clippers,Expected W-L: 41-41 (18th of 30)
Los Angeles Clippers,"Preseason Odds: Championship +19000, Over-Under 43.5"
Los Angeles Clippers,"Arena: STAPLES Center Attendance: 697,812 (22nd of 30)"
Miami Heat,"Record: 44-38, Finished 6th in NBA Eastern Conference"
Miami Heat,Coach: Erik Spoelstra (44-38)
Miami Heat,Executive: Pat Riley
Miami Heat,PTS/G: 103.4 (23rd of 30) Opp PTS/G: 102.9 (4th of 30)
Miami Heat,SRS: 0.15 (16th of 30) Pace: 95.6 (27th of 30)
Miami Heat,Off Rtg: 106.8 (22nd of 30) Def Rtg: 106.3 (7th of 30)
Miami Heat,Expected W-L: 42-40 (16th of 30)
Miami Heat,"Preseason Odds: Championship +24000, Over-Under 43.5"
Miami Heat,"Arena: AmericanAirlines Arena Attendance: 804,850 (6th of 30)"
Golden State Warriors,NBA 2018 Playoffs: Won NBA Western Conference First Round (4-1) versus San Antonio Spurs  Won NBA Western Conference Semifinals (4-1) versus New Orleans Pelicans  Won NBA Western Conference Finals (4-3) versus Houston Rockets  Won NBA Finals (4-0) versus Cleveland Cavaliers  
Philadelphia 76ers,"Record: 52-30, Finished 3rd in NBA Eastern Conference"
Philadelphia 76ers,Coach: Brett Brown (52-30)
Philadelphia 76ers,Executive: Bryan Colangelo
Philadelphia 76ers,PTS/G: 109.8 (7th of 30) Opp PTS/G: 105.3 (11th of 30)
Philadelphia 76ers,SRS: 4.30 (5th of 30) Pace: 99.8 (4th of 30)
Philadelphia 76ers,Off Rtg: 109.5 (12th of 30) Def Rtg: 105.0 (4th of 30)
Philadelphia 76ers,Expected W-L: 53-29 (5th of 30)
Philadelphia 76ers,"Preseason Odds: Championship +19000, Over-Under 39.5"
Philadelphia 76ers,"Arena: Wells Fargo Center Attendance: 833,503 (3rd of 30)"
Houston Rockets,NBA 2018 Playoffs: Won NBA Western Conference First Round (4-1) versus Minnesota Timberwolves  Won NBA Western Conference Semifinals (4-1) versus Utah Jazz  Lost NBA Western Conference Finals (3-4) versus Golden State Warriors  
Boston Celtics,"Record: 55-27, Finished 2nd in NBA Eastern Conference"
Boston Celtics,Coach: Brad Stevens (55-27)
Boston Celtics,Executive: Danny Ainge
Boston Celtics,PTS/G: 104.0 (20th of 30) Opp PTS/G: 100.4 (3rd of 30)
Boston Celtics,SRS: 3.23 (7th of 30) Pace: 96.0 (22nd of 30)
