Team,W,L,W/L%,PA/G,SRS,Season,Conference
Toronto Raptors,59,23,0.72,103.9,7.29,2017-2018,East
Boston Celtics,55,27,0.671,100.4,3.23,2017-2018,East
Philadelphia 76ers,52,30,0.634,105.3,4.3,2017-2018,East
Cleveland Cavaliers,50,32,0.61,109.9,0.59,2017-2018,East
Indiana Pacers,48,34,0.585,104.2,1.18,2017-2018,East
Miami Heat,44,38,0.537,102.9,0.15,2017-2018,East
Milwaukee Bucks,44,38,0.537,106.8,-0.45,2017-2018,East
Washington Wizards,43,39,0.524,106,0.53,2017-2018,East
Detroit Pistons,39,43,0.476,103.9,-0.26,2017-2018,East
Charlotte Hornets,36,46,0.439,108,0.07,2017-2018,East
New York Knicks,29,53,0.354,108,-3.53,2017-2018,East
Brooklyn Nets,28,54,0.341,110.3,-3.67,2017-2018,East
Chicago Bulls,27,55,0.329,110,-6.84,2017-2018,East
Orlando Magic,25,57,0.305,108.2,-4.92,2017-2018,East
Atlanta Hawks,24,58,0.293,108.8,-5.3,2017-2018,East
Houston Rockets,65,17,0.793,103.9,8.21,2017-2018,West
Golden State Warriors,58,24,0.707,107.5,5.79,2017-2018,West
Portland Trail Blazers,49,33,0.598,103,2.6,2017-2018,West
Oklahoma City Thunder,48,34,0.585,104.4,3.42,2017-2018,West
Utah Jazz,48,34,0.585,99.8,4.47,2017-2018,West
New Orleans Pelicans,48,34,0.585,110.4,1.48,2017-2018,West
San Antonio Spurs,47,35,0.573,99.8,2.89,2017-2018,West
Minnesota Timberwolves,47,35,0.573,107.3,2.35,2017-2018,West
Denver Nuggets,46,36,0.561,108.5,1.57,2017-2018,West
Los Angeles Clippers,42,40,0.512,109,0.15,2017-2018,West
Los Angeles Lakers,35,47,0.427,109.6,-1.44,2017-2018,West
Sacramento Kings,27,55,0.329,105.8,-6.6,2017-2018,West
Dallas Mavericks,24,58,0.293,105.4,-2.7,2017-2018,West
Memphis Grizzlies,22,60,0.268,105.5,-5.81,2017-2018,West
Phoenix Suns,21,61,0.256,113.3,-8.8,2017-2018,West
