teamId,City,Teams,Nickname,Logo,shortName
1,Atlanta,Atlanta Hawks,Hawks,https:\/\/upload.wikimedia.org\/wikipedia\/fr\/e\/ee\/Hawks_2016.png,ATL
2,Boston,Boston Celtics,Celtics,https:\/\/upload.wikimedia.org\/wikipedia\/fr\/thumb\/6\/65\/Celtics_de_Boston_logo.svg\/1024px-Celtics_de_Boston_logo.svg.png,BOS
4,Brooklyn,Brooklyn Nets,Nets,https:\/\/upload.wikimedia.org\/wikipedia\/commons\/thumb\/4\/44\/Brooklyn_Nets_newlogo.svg\/130px-Brooklyn_Nets_newlogo.svg.png,BKN
5,Charlotte,Charlotte Hornets,Hornets,https:\/\/upload.wikimedia.org\/wikipedia\/fr\/thumb\/f\/f3\/Hornets_de_Charlotte_logo.svg\/1200px-Hornets_de_Charlotte_logo.svg.png,CHA
6,Chicago,Chicago Bulls,Bulls,https:\/\/upload.wikimedia.org\/wikipedia\/fr\/thumb\/d\/d1\/Bulls_de_Chicago_logo.svg\/1200px-Bulls_de_Chicago_logo.svg.png,CHI
7,Cleveland,Cleveland Cavaliers,Cavaliers,https:\/\/upload.wikimedia.org\/wikipedia\/fr\/thumb\/0\/06\/Cavs_de_Cleveland_logo_2017.png\/150px-Cavs_de_Cleveland_logo_2017.png,CLE
8,Dallas,Dallas Mavericks,Mavericks,https:\/\/upload.wikimedia.org\/wikipedia\/fr\/thumb\/b\/b8\/Mavericks_de_Dallas_logo.svg\/150px-Mavericks_de_Dallas_logo.svg.png,DAL
9,Denver,Denver Nuggets,Nuggets,https:\/\/upload.wikimedia.org\/wikipedia\/fr\/thumb\/3\/35\/Nuggets_de_Denver_2018.png\/180px-Nuggets_de_Denver_2018.png,DEN
10,Detroit,Detroit Pistons,Pistons,https:\/\/upload.wikimedia.org\/wikipedia\/en\/thumb\/1\/1e\/Detroit_Pistons_logo.svg\/1200px-Detroit_Pistons_logo.svg.png,DET
11,Golden State,Golden State Warriors,Warriors,https:\/\/upload.wikimedia.org\/wikipedia\/fr\/thumb\/d\/de\/Warriors_de_Golden_State_logo.svg\/1200px-Warriors_de_Golden_State_logo.svg.png,GSW
14,Houston,Houston Rockets,Rockets,https:\/\/upload.wikimedia.org\/wikipedia\/fr\/thumb\/d\/de\/Houston_Rockets_logo_2003.png\/330px-Houston_Rockets_logo_2003.png,HOU
15,Indiana,Indiana Pacers,Pacers,https:\/\/upload.wikimedia.org\/wikipedia\/fr\/thumb\/c\/cf\/Pacers_de_l%27Indiana_logo.svg\/1180px-Pacers_de_l%27Indiana_logo.svg.png,IND
16,LA,LA Clippers,Clippers,https:\/\/upload.wikimedia.org\/wikipedia\/fr\/d\/d6\/Los_Angeles_Clippers_logo_2010.png,LAC
17,Los Angeles,Los Angeles Lakers,Lakers,https:\/\/upload.wikimedia.org\/wikipedia\/commons\/thumb\/3\/3c\/Los_Angeles_Lakers_logo.svg\/220px-Los_Angeles_Lakers_logo.svg.png,LAL
19,Memphis,Memphis Grizzlies,Grizzlies,https:\/\/upload.wikimedia.org\/wikipedia\/en\/thumb\/f\/f1\/Memphis_Grizzlies.svg\/1200px-Memphis_Grizzlies.svg.png,MEM
20,Miami,Miami Heat,Heat,https:\/\/upload.wikimedia.org\/wikipedia\/fr\/thumb\/1\/1c\/Miami_Heat_-_Logo.svg\/1200px-Miami_Heat_-_Logo.svg.png,MIA
