,0,Team,Team,CleanedBlurb
0,"
Record:
    
      37-45, Finished 10th in NBA 
     Western Conference    
    
    
    
    
",LAL,Los Angeles Lakers,"Record: 37-45, Finished 10th in NBA Western Conference"
1,Coach: Luke Walton (37-45),LAL,Los Angeles Lakers,Coach: Luke Walton (37-45)
2,"Executive: Magic Johnson, Rob Pelinka",LAL,Los Angeles Lakers,"Executive: Magic Johnson, Rob Pelinka"
3,"
PTS/G: 
      111.8 (16th of 30)
      Opp PTS/G: 
      113.5 (21st of 30)
    ",LAL,Los Angeles Lakers,PTS/G: 111.8 (16th of 30) Opp PTS/G: 113.5 (21st of 30)
4,"
SRS: -1.33 (23rd of 30)
      
      Pace: 103.2 (4th of 30)
    ",LAL,Los Angeles Lakers,SRS: -1.33 (23rd of 30) Pace: 103.2 (4th of 30)
5,"
Off Rtg: 107.8 (24th of 30)
      Def Rtg: 109.5 (12th of 30)
    ",LAL,Los Angeles Lakers,Off Rtg: 107.8 (24th of 30) Def Rtg: 109.5 (12th of 30)
6,"
Expected W-L: 37-45 (23rd of 30)
    ",LAL,Los Angeles Lakers,Expected W-L: 37-45 (23rd of 30)
7,"
Preseason Odds:
Championship +1800, Over-Under 
            48.5
          
",LAL,Los Angeles Lakers,"Preseason Odds: Championship +1800, Over-Under 48.5"
8,"
Arena: 
    STAPLES Center
  

  
    Attendance:
    778,877 (10th of 30)
  
",LAL,Los Angeles Lakers,"Arena: STAPLES Center Attendance: 778,877 (10th of 30)"
10,"
Record:
    
      60-22, Finished 1st in NBA 
     Eastern Conference    
    
    
    
    
",MIL,Milwaukee Bucks,"Record: 60-22, Finished 1st in NBA Eastern Conference"
11,Coach: Mike Budenholzer (60-22),MIL,Milwaukee Bucks,Coach: Mike Budenholzer (60-22)
12,Executive: Jon Horst,MIL,Milwaukee Bucks,Executive: Jon Horst
13,"
PTS/G: 
      118.1 (1st of 30)
      Opp PTS/G: 
      109.3 (11th of 30)
    ",MIL,Milwaukee Bucks,PTS/G: 118.1 (1st of 30) Opp PTS/G: 109.3 (11th of 30)
14,"
SRS: 8.04 (1st of 30)
      
      Pace: 103.3 (2nd of 30)
    ",MIL,Milwaukee Bucks,SRS: 8.04 (1st of 30) Pace: 103.3 (2nd of 30)
15,"
Off Rtg: 113.8 (4th of 30)
      Def Rtg: 105.2 (1st of 30)
    ",MIL,Milwaukee Bucks,Off Rtg: 113.8 (4th of 30) Def Rtg: 105.2 (1st of 30)
16,"
Expected W-L: 61-21 (1st of 30)
    ",MIL,Milwaukee Bucks,Expected W-L: 61-21 (1st of 30)
17,"
Preseason Odds:
Championship +10000, Over-Under 
            48.0
          
",MIL,Milwaukee Bucks,"Preseason Odds: Championship +10000, Over-Under 48.0"
18,"
Arena: 
    Fiserv Forum
  

  
    Attendance:
    721,692 (17th of 30)
  
",MIL,Milwaukee Bucks,"Arena: Fiserv Forum Attendance: 721,692 (17th of 30)"
19,"NBA 2019 Playoffs:
Won NBA Eastern Conference First Round (4-0) versus Detroit Pistons
 (Series Stats)Won NBA Eastern Conference Semifinals (4-1) versus Boston Celtics
 (Series Stats)Lost NBA Eastern Conference Finals (2-4) versus Toronto Raptors
 (Series Stats)",MIL,Milwaukee Bucks,NBA 2019 Playoffs: Won NBA Eastern Conference First Round (4-0) versus Detroit Pistons  Won NBA Eastern Conference Semifinals (4-1) versus Boston Celtics  Lost NBA Eastern Conference Finals (2-4) versus Toronto Raptors  
20,"
Record:
    
      48-34, Finished 8th in NBA 
     Western Conference    
    
    
    
    
",LAC,Los Angeles Clippers,"Record: 48-34, Finished 8th in NBA Western Conference"
21,Coach: Doc Rivers (48-34),LAC,Los Angeles Clippers,Coach: Doc Rivers (48-34)
22,Executive: Lawrence Frank,LAC,Los Angeles Clippers,Executive: Lawrence Frank
23,"
PTS/G: 
      115.1 (5th of 30)
      Opp PTS/G: 
      114.3 (25th of 30)
    ",LAC,Los Angeles Clippers,PTS/G: 115.1 (5th of 30) Opp PTS/G: 114.3 (25th of 30)
24,"
SRS: 1.09 (13th of 30)
      
      Pace: 101.7 (7th of 30)
    ",LAC,Los Angeles Clippers,SRS: 1.09 (13th of 30) Pace: 101.7 (7th of 30)
