Team,Color
Atlanta Hawks,black
Boston Celtics,black
Brooklyn Nets,yellow
Charlotte Hornets,black
Chicago Bulls,black
Cleveland Cavaliers,black
Dallas Mavericks,black
Denver Nuggets,black
Detroit Pistons,black
Golden State Warriors,black
Houston Rockets,yellow
Indiana Pacers,black
Los Angeles Clippers,black
Los Angeles Lakers,black
Memphis Grizzlies,black
Miami Heat,black
Milwaukee Bucks,black
Minnesota Timberwolves,black
New Orleans Pelicans,black
New York Knicks,black
Oklahoma City Thunder,black
Orlando Magic,black
Philadelphia 76ers,black
Phoenix Suns,black
Portland Trail Blazers,red
Sacramento Kings,black
San Antonio Spurs,yellow
Toronto Raptors,yellow
Utah Jazz,Black
Washington Wizards,Black
