,Player,ID
0,Álex Abrines,abrinal01
1,Quincy Acy,acyqu01
2,Quincy Acy,acyqu01
3,Quincy Acy,acyqu01
4,Steven Adams,adamsst01
5,Arron Afflalo,afflaar01
6,Alexis Ajinça,ajincal01
7,Cole Aldrich,aldrico01
8,LaMarcus Aldridge,aldrila01
9,Lavoy Allen,allenla01
10,Tony Allen,allento01
11,Al-Farouq Aminu,aminual01
12,Chris Andersen,anderch01
13,Alan Anderson,anderal01
14,Justin Anderson,anderju01
15,Justin Anderson,anderju01
16,Justin Anderson,anderju01
17,Kyle Anderson,anderky01
18,Ryan Anderson,anderry01
19,Giannis Antetokounmpo,antetgi01
20,Carmelo Anthony,anthoca01
21,Joel Anthony,anthojo01
22,Trevor Ariza,arizatr01
23,Darrell Arthur,arthuda01
24,Ömer Aşık,asikom01
25,D.J. Augustin,augusdj01
26,Luke Babbitt,babbilu01
27,Ron Baker,bakerro01
28,Wade Baldwin,baldwwa01
29,Leandro Barbosa,barbole01
30,J.J. Barea,bareajo01
31,Harrison Barnes,barneha02
32,Matt Barnes,barnema02
33,Matt Barnes,barnema02
34,Matt Barnes,barnema02
35,Will Barton,bartowi01
36,Brandon Bass,bassbr01
37,Nicolas Batum,batumni01
38,Jerryd Bayless,bayleje01
39,Aron Baynes,baynear01
40,Kent Bazemore,bazemke01
41,Bradley Beal,bealbr01
42,Malik Beasley,beaslma01
43,Michael Beasley,beaslmi01
44,Marco Belinelli,belinma01
45,DeAndre' Bembry,bembrde01
46,Dragan Bender,bendedr01
47,Anthony Bennett,bennean01
48,Ben Bentil,bentibe01
49,Dāvis Bertāns,bertada01
50,Patrick Beverley,beverpa01
51,Bismack Biyombo,biyombi01
52,Nemanja Bjelica,bjeline01
53,Tarik Black,blackta01
54,Eric Bledsoe,bledser01
55,Bojan Bogdanović,bogdabo02
56,Bojan Bogdanović,bogdabo02
57,Bojan Bogdanović,bogdabo02
58,Andrew Bogut,bogutan01
59,Andrew Bogut,bogutan01
60,Andrew Bogut,bogutan01
61,Joel Bolomboy,bolomjo01
62,Devin Booker,bookede01
63,Trevor Booker,booketr01
64,Avery Bradley,bradlav01
65,Corey Brewer,breweco01
66,Corey Brewer,breweco01
67,Corey Brewer,breweco01
68,Malcolm Brogdon,brogdma01
69,Aaron Brooks,brookaa01
70,Anthony Brown,brownan02
71,Anthony Brown,brownan02
72,Anthony Brown,brownan02
73,Bobby Brown,brownbo02
74,Jaylen Brown,brownja02
75,Nicolás Brussino,brussni01
76,Reggie Bullock,bullore01
77,Trey Burke,burketr01
78,Alec Burks,burksal01
79,Jimmy Butler,butleji01
80,Bruno Caboclo,cabocbr01
81,José Calderón,caldejo01
82,José Calderón,caldejo01
83,José Calderón,caldejo01
84,Kentavious Caldwell-Pope,caldwke01
85,Isaiah Canaan,canaais01
86,Clint Capela,capelca01
87,DeMarre Carroll,carrode01
88,Vince Carter,cartevi01
89,Michael Carter-Williams,cartemi01
90,Omri Casspi,casspom01
91,Omri Casspi,casspom01
92,Omri Casspi,casspom01
93,Omri Casspi,casspom01
94,Willie Cauley-Stein,caulewi01
95,Tyson Chandler,chandty01
96,Wilson Chandler,chandwi01
97,Marquese Chriss,chrisma01
98,Rakeem Christmas,chrisra01
99,Semaj Christon,chrisse01
100,Ian Clark,clarkia01
101,Jordan Clarkson,clarkjo01
102,Norris Cole,coleno01
103,Darren Collison,collida01
104,Nick Collison,collini01
105,Mike Conley,conlemi01
106,Pat Connaughton,connapa01
107,Quinn Cook,cookqu01
108,Quinn Cook,cookqu01
109,Quinn Cook,cookqu01
110,DeMarcus Cousins,couside01
111,DeMarcus Cousins,couside01
112,DeMarcus Cousins,couside01
113,Robert Covington,covinro01
114,Allen Crabbe,crabbal01
115,Jamal Crawford,crawfja01
116,Jordan Crawford,crawfjo02
117,Jae Crowder,crowdja01
118,Dante Cunningham,cunnida01
119,Seth Curry,curryse01
120,Stephen Curry,curryst01
121,Troy Daniels,danietr01
122,Anthony Davis,davisan02
123,Deyonta Davis,davisde01
124,Ed Davis,davised01
125,Dewayne Dedmon,dedmode01
126,Sam Dekker,dekkesa01
127,Malcolm Delaney,delanma01
128,Matthew Dellavedova,dellama01
129,Luol Deng,denglu01
130,DeMar DeRozan,derozde01
131,Cheick Diallo,diallch01
132,Boris Diaw,diawbo01
133,Gorgui Dieng,dienggo01
134,Spencer Dinwiddie,dinwisp01
135,Toney Douglas,douglto01
136,Goran Dragić,dragigo01
137,Andre Drummond,drumman01
138,Jared Dudley,dudleja01
139,Mike Dunleavy,dunlemi02
140,Mike Dunleavy,dunlemi02
141,Mike Dunleavy,dunlemi02
142,Kris Dunn,dunnkr01
143,Kevin Durant,duranke01
144,Jarell Eddie,eddieja01
145,Henry Ellenson,ellenhe01
146,Wayne Ellington,ellinwa01
147,Monta Ellis,ellismo01
148,Joel Embiid,embiijo01
149,James Ennis,ennisja01
150,Tyler Ennis,ennisty01
151,Tyler Ennis,ennisty01
152,Tyler Ennis,ennisty01
153,Tyreke Evans,evansty01
154,Tyreke Evans,evansty01
155,Tyreke Evans,evansty01
156,Dante Exum,exumda01
157,Kenneth Faried,farieke01
158,Jordan Farmar,farmajo01
159,Derrick Favors,favorde01
160,Kay Felder,feldeka01
161,Cristiano Felício,feliccr01
162,Raymond Felton,feltora01
163,Yogi Ferrell,ferreyo01
164,Yogi Ferrell,ferreyo01
165,Yogi Ferrell,ferreyo01
166,Dorian Finney-Smith,finnedo01
167,Bryn Forbes,forbebr01
168,Evan Fournier,fournev01
169,Randy Foye,foyera01
170,Tim Frazier,fraziti01
171,Channing Frye,fryech01
172,Danilo Gallinari,gallida01
173,Langston Galloway,gallola01
174,Langston Galloway,gallola01
175,Langston Galloway,gallola01
176,Patricio Garino,garinpa01
177,Marc Gasol,gasolma01
178,Pau Gasol,gasolpa01
179,Rudy Gay,gayru01
180,Michael Gbinije,gbinimi01
181,Alonzo Gee,geeal01
182,Paul George,georgpa01
183,Marcus Georges-Hunt,georgma01
184,Jonathan Gibson,gibsojo01
185,Taj Gibson,gibsota01
186,Taj Gibson,gibsota01
187,Taj Gibson,gibsota01
188,Manu Ginóbili,ginobma01
189,Rudy Gobert,goberru01
190,Archie Goodwin,goodwar01
191,Archie Goodwin,goodwar01
192,Archie Goodwin,goodwar01
193,Aaron Gordon,gordoaa01
194,Eric Gordon,gordoer01
195,Marcin Gortat,gortama01
196,Treveon Graham,grahatr01
197,Jerami Grant,grantje01
198,Jerami Grant,grantje01
199,Jerami Grant,grantje01
200,Jerian Grant,grantje02
201,Danny Green,greenda02
202,Draymond Green,greendr01
203,Gerald Green,greenge01
204,JaMychal Green,greenja01
205,Jeff Green,greenje02
206,Blake Griffin,griffbl01
207,Justin Hamilton,hamilju01
208,A.J. Hammons,hammoaj01
209,Tim Hardaway Jr.,hardati02
210,James Harden,hardeja01
211,Maurice Harkless,harklma01
212,Justin Harper,harpeju01
213,Montrezl Harrell,harremo01
214,Devin Harris,harride01
215,Gary Harris,harriga01
216,Joe Harris,harrijo01
217,Manny Harris,harrima01
218,Tobias Harris,harrito02
219,Aaron Harrison,harriaa01
220,Andrew Harrison,harrian01
221,Udonis Haslem,hasleud01
222,Spencer Hawes,hawessp01
223,Spencer Hawes,hawessp01
224,Spencer Hawes,hawessp01
225,Gordon Hayward,haywago01
226,Gerald Henderson,hendege02
227,John Henson,hensojo01
228,Juan Hernangómez,hernaju01
229,Willy Hernangómez,hernawi01
230,Mario Hezonja,hezonma01
231,Roy Hibbert,hibbero01
232,Roy Hibbert,hibbero01
233,Roy Hibbert,hibbero01
234,Buddy Hield,hieldbu01
235,Buddy Hield,hieldbu01
236,Buddy Hield,hieldbu01
237,Nenê,hilarne01
238,George Hill,hillge01
239,Jordan Hill,hilljo01
240,Solomon Hill,hillso01
241,Darrun Hilliard,hillida01
242,Jrue Holiday,holidjr01
243,Justin Holiday,holidju01
244,Rondae Hollis-Jefferson,holliro01
245,Richaun Holmes,holmeri01
246,Rodney Hood,hoodro01
247,Al Horford,horfoal01
248,Danuel House,houseda01
249,Dwight Howard,howardw01
250,Marcelo Huertas,huertma01
251,Josh Huestis,huestjo01
252,Kris Humphries,humphkr01
253,R.J. Hunter,hunterj01
254,Serge Ibaka,ibakase01
255,Serge Ibaka,ibakase01
256,Serge Ibaka,ibakase01
257,Andre Iguodala,iguodan01
258,Ersan İlyasova,ilyaser01
259,Ersan İlyasova,ilyaser01
260,Ersan İlyasova,ilyaser01
261,Ersan İlyasova,ilyaser01
262,Joe Ingles,inglejo01
263,Brandon Ingram,ingrabr01
264,Kyrie Irving,irvinky01
265,Jarrett Jack,jackja01
266,Demetrius Jackson,jacksde01
267,Pierre Jackson,jackspi01
268,Reggie Jackson,jacksre01
269,LeBron James,jamesle01
270,Al Jefferson,jeffeal01
271,Richard Jefferson,jefferi01
272,John Jenkins,jenkijo01
273,Brandon Jennings,jennibr01
274,Brandon Jennings,jennibr01
275,Brandon Jennings,jennibr01
276,Jonas Jerebko,jerebjo01
277,Amir Johnson,johnsam01
278,Brice Johnson,johnsbr02
279,James Johnson,johnsja01
280,Joe Johnson,johnsjo02
281,Stanley Johnson,johnsst04
282,Tyler Johnson,johnsty01
283,Wesley Johnson,johnswe01
284,Nikola Jokić,jokicni01
285,Dahntay Jones,jonesda02
286,Damian Jones,jonesda03
287,Derrick Jones Jr.,jonesde02
288,James Jones,jonesja02
289,Terrence Jones,joneste01
290,Terrence Jones,joneste01
291,Terrence Jones,joneste01
292,Tyus Jones,jonesty01
293,DeAndre Jordan,jordade01
294,Cory Joseph,josepco01
295,Frank Kaminsky,kaminfr01
296,Enes Kanter,kanteen01
297,Ryan Kelly,kellyry01
298,Michael Kidd-Gilchrist,kiddgmi01
299,Sean Kilpatrick,kilpase01
300,Brandon Knight,knighbr03
301,Kyle Korver,korveky01
302,Kyle Korver,korveky01
303,Kyle Korver,korveky01
304,Kosta Koufos,koufoko01
305,Mindaugas Kuzminskas,kuzmimi01
306,Skal Labissière,labissk01
307,Jeremy Lamb,lambje01
308,Nicolás Laprovíttola,laproni01
309,Joffrey Lauvergne,lauvejo01
310,Joffrey Lauvergne,lauvejo01
311,Joffrey Lauvergne,lauvejo01
312,Zach LaVine,lavinza01
313,Ty Lawson,lawsoty01
314,Jake Layman,laymaja01
315,Courtney Lee,leeco01
316,David Lee,leeda02
317,Alex Len,lenal01
318,Kawhi Leonard,leonaka01
319,Meyers Leonard,leoname01
320,Jon Leuer,leuerjo01
321,Caris LeVert,leverca01
322,DeAndre Liggins,liggide01
323,DeAndre Liggins,liggide01
324,DeAndre Liggins,liggide01
325,Damian Lillard,lillada01
326,Jeremy Lin,linje01
327,Shaun Livingston,livinsh01
328,Shawn Long,longsh01
329,Kevon Looney,looneke01
330,Brook Lopez,lopezbr01
331,Robin Lopez,lopezro01
332,Kevin Love,loveke01
333,Kyle Lowry,lowryky01
334,John Lucas III,lucasjo02
335,Timothé Luwawu-Cabarrot,luwawti01
336,Trey Lyles,lylestr01
337,Sheldon Mac,mcclesh01
338,Shelvin Mack,macksh01
339,Ian Mahinmi,mahinia01
340,Thon Maker,makerth01
341,Boban Marjanović,marjabo01
342,Jarell Martin,martija01
343,Wesley Matthews,matthwe02
344,Luc Mbah a Moute,mbahalu01
345,James Michael McAdoo,mcadoja01
346,Patrick McCaw,mccawpa01
347,CJ McCollum,mccolcj01
348,T.J. McConnell,mccontj01
349,Chris McCullough,mcculch01
350,Chris McCullough,mcculch01
351,Chris McCullough,mcculch01
352,K.J. McDaniels,mcdankj01
353,K.J. McDaniels,mcdankj01
354,K.J. McDaniels,mcdankj01
355,Doug McDermott,mcderdo01
356,Doug McDermott,mcderdo01
357,Doug McDermott,mcderdo01
358,JaVale McGee,mcgeeja01
359,Rodney McGruder,mcgruro01
360,Ben McLemore,mclembe01
361,Jordan McRae,mcraejo01
362,Josh McRoberts,mcrobjo01
363,Jodie Meeks,meeksjo01
364,Salah Mejri,mejrisa01
365,Jordan Mickey,mickejo01
366,Khris Middleton,middlkh01
367,C.J. Miles,milescj01
368,Mike Miller,millemi01
369,Patty Mills,millspa02
370,Elijah Millsap,millsel01
371,Paul Millsap,millspa01
372,Nikola Mirotić,mirotni01
373,Greg Monroe,monrogr01
374,E'Twaun Moore,mooreet01
375,Marcus Morris,morrima03
376,Markieff Morris,morrima02
377,Anthony Morrow,morroan01
378,Anthony Morrow,morroan01
379,Anthony Morrow,morroan01
380,Donatas Motiejūnas,motiedo01
381,Timofey Mozgov,mozgoti01
382,Emmanuel Mudiay,mudiaem01
383,Shabazz Muhammad,muhamsh01
384,Dejounte Murray,murrade01
385,Jamal Murray,murraja01
