Team,W,L,W/L%,PA/G,SRS,Season,Conference
Boston Celtics,53,29,0.646,105.4,2.25,2016-2017,East
Cleveland Cavaliers,51,31,0.622,107.2,2.87,2016-2017,East
Toronto Raptors,51,31,0.622,102.6,3.65,2016-2017,East
Washington Wizards,49,33,0.598,107.4,1.36,2016-2017,East
Atlanta Hawks,43,39,0.524,104,-1.23,2016-2017,East
Milwaukee Bucks,42,40,0.512,103.8,-0.45,2016-2017,East
Indiana Pacers,42,40,0.512,105.3,-0.64,2016-2017,East
Chicago Bulls,41,41,0.5,102.4,0.03,2016-2017,East
Miami Heat,41,41,0.5,102.1,0.77,2016-2017,East
Detroit Pistons,37,45,0.451,102.5,-1.29,2016-2017,East
Charlotte Hornets,36,46,0.439,104.7,-0.07,2016-2017,East
New York Knicks,31,51,0.378,108,-3.87,2016-2017,East
Orlando Magic,29,53,0.354,107.6,-6.61,2016-2017,East
Philadelphia 76ers,28,54,0.341,108.1,-5.83,2016-2017,East
Brooklyn Nets,20,62,0.244,112.5,-6.74,2016-2017,East
Golden State Warriors,67,15,0.817,104.3,11.35,2016-2017,West
San Antonio Spurs,61,21,0.744,98.1,7.13,2016-2017,West
Houston Rockets,55,27,0.671,109.6,5.84,2016-2017,West
Los Angeles Clippers,51,31,0.622,104.4,4.42,2016-2017,West
Utah Jazz,51,31,0.622,96.8,4,2016-2017,West
Oklahoma City Thunder,47,35,0.573,105.8,1.14,2016-2017,West
Memphis Grizzlies,43,39,0.524,100,0.96,2016-2017,West
Portland Trail Blazers,41,41,0.5,108.5,-0.23,2016-2017,West
Denver Nuggets,40,42,0.488,111.2,0.7,2016-2017,West
New Orleans Pelicans,34,48,0.415,106.4,-1.69,2016-2017,West
Dallas Mavericks,33,49,0.402,100.8,-2.53,2016-2017,West
Sacramento Kings,32,50,0.39,106.7,-3.29,2016-2017,West
Minnesota Timberwolves,31,51,0.378,106.7,-0.64,2016-2017,West
Los Angeles Lakers,26,56,0.317,111.5,-6.29,2016-2017,West
Phoenix Suns,24,58,0.293,113.3,-5.14,2016-2017,West
